H3K18Ac (new lot).14-16 hr OR embryo	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3754		
H3K23ac.OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3756		
H3K36me3 abcam.D.mel 3rd Instar Larvae Nuclei HP1a Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3759		
H3K9ac.14-16 hr OR embryo	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3764		
H3K9ac.OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3766		
H3K9acS10P (new lot).OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3767		
H3K9me2-Ab2 (new lot).D.mel 3rd Instar Larvae Nuclei HP1a Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3771		
H3K9me2-Ab2 (new lot).OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3773		
H3K9me3 abcam.D.mel 3rd Instar Larvae Nuclei EGG Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3774		
H3K9me3 abcam.D.mel 3rd Instar Larvae Nuclei HP1a Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3775		
HP1b Q4114.OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3778		
HP1c (MO 462).OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3779		
HP1 wa191.D.mel 3rd Instar Larvae Nuclei POF Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3780		
HP2 (Ab2-90).OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3781		
POF (MO 459).D.mel 3rd Instar Larvae Nuclei EGG Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3793		
POF (MO 459).D.mel 3rd Instar Larvae Nuclei POF Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3794		
POF (MO 459).OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3796		
RNA Pol II (abcam).D.mel 3rd Instar Larvae Nuclei HP1a Mutant	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3798		
SU(HW)-HB.Kc	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3801		
Su(var)3-9-Q2598.OR Head Nuclei	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3802		
WPP_BR-core	White	White					NOT RELEASED							2011-07-28		uploaded	3806		
D.pse_E0-4h_K27me3	White	White					NOT RELEASED							2011-07-28		uploaded	3807		
D.pse_E0-4h_Psq	White	White					NOT RELEASED							2011-07-28		uploaded	3808		
D.pse_E0-4h_Trl	White	White					NOT RELEASED							2011-07-28		uploaded	3809		
D.pse_WPP_K27me3	White	White					NOT RELEASED							2011-07-28		uploaded	3810		
D.sim_E0-4h_K27me3	White	White					NOT RELEASED							2011-07-28		uploaded	3811		
D.sim_E0-4h_Kr	White	White					NOT RELEASED							2011-07-28		uploaded	3812		
D.sim_E0-4h_Pcl	White	White					NOT RELEASED							2011-07-28		uploaded	3813		
D.sim_E0-4h_Trl-D2	White	White					NOT RELEASED							2011-07-28		uploaded	3814		
D.sim_WPP_K27me3	White	White					NOT RELEASED							2011-07-28		uploaded	3815		
D.sim_WPP_Pcl	White	White					NOT RELEASED							2011-07-28		uploaded	3816		
D.yak_E0-4h_Kr	White	White					NOT RELEASED							2011-07-28		uploaded	3817		
D.yak_E0-4h_Pcl	White	White					NOT RELEASED							2011-07-28		uploaded	3818		
D.yak_E0-4h_Psq	White	White					NOT RELEASED							2011-07-28		uploaded	3819		
D.yak_E0-4h_Trl-D2	White	White					NOT RELEASED							2011-07-28		uploaded	3820		
D.yak_WPP_Trl-D2	White	White					NOT RELEASED							2011-07-28		uploaded	3821		
E0-12_Hr4_GFP	White	White					NOT RELEASED							2011-07-28		uploaded	3822		
E0-4_Yki-91	White	White					NOT RELEASED							2011-07-28		uploaded	3823		
E16-24h_13T(exd)-GFP	White	White					NOT RELEASED							2011-07-28		uploaded	3824		
E16-24h_Cabut	White	White					NOT RELEASED							2011-07-28		uploaded	3825		
E16-24h_Fer3	White	White					NOT RELEASED							2011-07-28		uploaded	3826		
E8-16h_h	White	White					NOT RELEASED							2011-07-28		uploaded	3827		
Ad_Female_3d_EcR_GFP	White	White					NOT RELEASED							2011-07-28		uploaded	3828		
WPP_K27me3	White	White					NOT RELEASED							2011-07-28		uploaded	3829		
WPP_Trl-D2	White	White					NOT RELEASED							2011-07-28		uploaded	3830		
RNAseq - AG1106 genelets	Waterston	Waterston					NOT RELEASED							2011-07-29		uploaded	3832		
Snyder_Pmex-5_LIN-35_YL468 yAd	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3833		
Snyder_pGES_HPL-2_lin-35_YL474_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3834		
Snyder_NHR-25_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3835		
Snyder_NHR-6_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3836		
Snyder_NHR-23_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3837		
Snyder_SKN-1_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3838		
Snyder_F23F12.9_GFP_Emb	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3839		
Snyder_MAB-5_GFP_Emb	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3840		
Snyder_F49E12.6_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3841		
Snyder_HAM-1_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3842		
Snyder_ELT-1_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3843		
Snyder_LSY-2_GFP_Emb	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3844		
Snyder_LSY-2_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3845		
Snyder_LSY-2_GFP_Starved_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3846		
Snyder_LSY-2_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3847		
Snyder_LSY-2_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3848		
Snyder_nhr-237_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3849		
